city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,BasePlan,BaseRev,pr_io2l5gg3wmg,Correct_City,buffer_qty_at_upstream,...28
Chennai,POR,137,pr_57234c427648b,Chicken Curry Cut (Large - 8 to 10 Pieces),Chicken,Chicken,Chicken,,E,,179.0,Thursday,2023-09-14,Online,Old,,17,23,3043.0,4117.0,,,,Tail,Low Volume,,Chicken Curry Cut (Large),Chicken - CC,,,,,,,,,,,,,,,,,,,,,,,
NCR,CCS,21,pr_57235922d122e,Chicken Tikka (Boneless),Ready to Cook,Ready to Cook,Chicken,,E,Head,263.0,Wednesday,2023-02-22,Online,Old,,4,4,1052.0,1052.0,,,,VA-Head,High AF50,,Chicken,Chicken - BL,,,,,NCR,NA,,1.0,,,,,,,,,,,,,,,
Bangalore,JAK,12,pr_89lkrx2ojt1,Half - Sichuan Chilli Chicken,Ready to Cook,Ready to Cook,Chicken,,E,,178.0,Friday,2023-10-13,Online,Old,,2,2,356.0,356.0,,,,VA-Head,High Volume,,Chicken,Thigh,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,KDB,130,pr_mxclhos42cv,Mutton Paya (Hooves),Lamb & Goat,Lamb & Goat,Lamb hoof,,E,,549.0,Saturday,2023-12-02,Online,Old,,7,10,3843.0,5490.0,,,,Tail,High Volume,,Goat carcass,Lamb & Goat,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,PCK,54,pr_5862691b058c4,Hariyali Fish Tikka,Ready to Cook,Ready to Cook,Basa,,E,Tail,290.0,Wednesday,2023-01-11,Online,Old,,1,1,290.0,290.0,,,,VA-Tail,Non AF50,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,,,
NCR,BKC,26,pr_6edl2ej2lvj,Crispy Chicken Burger Patty,Burger,Burger,Chicken,,E,,133.0,Tuesday,2023-05-02,Online,Old,,1,1,133.0,133.0,,,,VA-Torso,Low Volume,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,KOM,8,pr_fmnkgtbiulu,Seer Medium - Thin Slices(Large Pack),Fish & Seafood,Fish & Seafood,Seer ( Medium ),,E,,1249.0,Sunday,2023-10-15,Online,Old,,0,0,0.0,0.0,,,,Tail,High Volume,,Seer,Fish & Seafood - Steaks,,,,,,,,,,,,,,,,,,,,,,,
Chennai,PLK,78,pr_gokmetyfiq,Sardine Extra Small Whole Cleaned,Fish & Seafood,Fish & Seafood,Sardine Extra Small,,E,Torso,269.0,Wednesday,2023-01-11,Online,Old,,0,0,0.0,0.0,,,,Tail,Non AF50,,Sardine,Small Fishes,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,BOR,98,pr_n22llde3kfl,Kerala Mutton Stew,Ready to Cook,Ready to Cook,Goat carcass,,E,,1.0,Friday,2023-09-29,Online,Old,,2,3,2.0,3.0,,,,Tail,Low Volume,,Goat carcass,Lamb & Goat,,,,,,,,,,,,,,,,,,,,,,,
Chennai,Chennai,-1,pr_hr0l0brj2dj,"White Prawns (40-60C/Medium) - Cleaned & Deveined (Mini Pack, 10 Pcs)",Fish & Seafood,Fish & Seafood,Prawn medium (40 to 60 Count),,P,,179.0,Wednesday,2023-12-13,Online,Old,,0,0,0.0,0.0,,,,Tail,Low Volume,,Prawn,Prawn - Peeled & Deveined,,,,,,,,,,,,,,,,,,,,,,,
