city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,hub.sku.day,city.sku.day,BasePlan,BaseRev
Mumbai,POW,64,pr_hogl446hsd4,Hyderabadi Chicken Biryani,Biryani,Biryani,Chicken,,E,,356.0,Monday,2023-11-06,Online,Old,,1.0,1.0,356.0,356.0,,,,VA-Torso,High Volume,,Chicken,Biryani,,,,,,,,,,,,,,,,,,,,,
Pune,BNR,57,pr_fmhkgtbdprx,Chicken Breast Boneless - Large Pack,Chicken,Chicken,Chicken,,E,,525.0,Tuesday,2023-04-25,Online,Old,,12.0,16.0,6300.0,8400.0,,,,Tail,High Volume,,Chicken Breast Boneless,Chicken - BL,,,,,,,,,,,,,,,,,,,,,
Mumbai,ADE,63,pr_8dukz8nkfto,Goat Mince 225g,Lamb & Goat,Lamb & Goat,Goat carcass,,E,Tail,415.0,Sunday,2023-03-26,Online,Old,,1.0,1.0,415.0,415.0,,,,Tail,High AF50,,Goat carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,,,,
Mumbai,KHGR,89,pr_4cyjya5ry5e,Chunky Butter Chicken Spread,Spreads,Spreads,Shawarma,,E,,196.0,Wednesday,2023-11-01,Online,Old,,4.0,4.0,784.0,784.0,,,,VA-Head,Low Volume,,NA,Spreads,,,,,,,,,,,,,,,,,,,,,
Bangalore,SI,-2,pr_fa5lbgescmx,Licious Lamb Curry Cut,Lamb & Goat,Lamb & Goat,Lamb carcass,,E,,605.0,Tuesday,2023-08-01,Merchant,Old,,0.0,0.0,0.0,0.0,,,,Tail,Merchant,,Lamb carcass,Lamb & Goat,,,,,,,,,,,,,,,,,,,,,
Pune,PIMCHI,103,pr_dnllcyx6hje,UnCrave Plant Based Singles Pack Kebab - Mutt~n,PBM,PBM,,,E,,105.0,Thursday,2023-11-09,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Tail,Low Volume,,PBM,PBM-All,,,,,,,,,,,,,,,,,,,,,
Bangalore,BEG,134,pr_g4dl4wrlu1k,"Anchovy Large - Whole, Cleaned",Fish & Seafood,Fish & Seafood,Anchovy Large,,E,,225.0,Sunday,2024-01-21,Online,Old,,0.0,0.0,0.0,0.0,,,,Target Group,High Volume,,Anchovy,Fish & Seafood - Whole,,,,,,,,,,,,,,,,,,BEGpr_g4dl4wrlu1kSunday,Bangalorepr_g4dl4wrlu1kSunday,False,False
Hyderabad,Trimulgherry,24,pr_av4kgtb3l1h,Chicken Curry Cut Small - Large Pack,Chicken,Chicken,Chicken,,E,Focus,345.0,Friday,2023-03-10,Online,Old,,33.0,48.0,11385.0,16560.0,,,,Head,Low AF50,,Chicken Curry Cut (Small),Chicken - CC,,,,,,,,,,,,,,,,,,,,,
Bangalore,HSR,5,pr_59a6c8bfc844b,"Pink Perch Medium - Whole, Cleaned",Fish & Seafood,Fish & Seafood,Pink perch,,E,Tail,499.0,Sunday,2023-01-22,Online,Old,,2.0,3.0,998.0,1497.0,,,,Market Head,High AF50,,Pink perch,Small Fishes,,,,,,,,,,,,,,,,,,,,,
Kolkata,NWT,219,pr_3lql5gg03d3,Classic Chicken Lyoner,Cold Cuts,Cold Cuts,Classic Chicken Lyoner,,E,,240.0,Thursday,2023-08-31,Online,Old,,1.0,1.0,240.0,240.0,,,,VA-Tail,Low Volume,,Chicken,Cold Cuts - All,,,,,,,,,,,,,,,,,,,,,
